mRNA	microRNA	lncRNA
ATP2B1	hsa-miR-29b-3p	TUG1
C1QTNF6	hsa-miR-29c-3p	TUG1
C5orf13	hsa-miR-29b-3p	TUG1
CABYR	hsa-miR-221-3p	TUG1
CABYR	hsa-miR-222-3p	TUG1
CDC7	hsa-miR-29a-3p	TUG1
CDC7	hsa-miR-29c-3p	TUG1
CDK2	hsa-miR-29a-3p	TUG1
CDK2	hsa-miR-29b-3p	TUG1
CDK2	hsa-miR-29c-3p	TUG1
CENPK	hsa-miR-29a-3p	TUG1
CENPK	hsa-miR-29c-3p	TUG1
COL1A1	hsa-miR-29c-3p	TUG1
COL1A1	hsa-miR-335-5p	TUG1
COL3A1	hsa-miR-186-5p	TUG1
COL3A1	hsa-miR-335-5p	TUG1
COL5A2	hsa-miR-29c-3p	TUG1
DEPDC1	hsa-miR-29a-3p	TUG1
DEPDC1	hsa-miR-29c-3p	TUG1
DNMT3A	hsa-miR-29a-3p	TUG1
DNMT3A	hsa-miR-29c-3p	TUG1
DSC2	hsa-miR-29c-3p	TUG1
FBN1	hsa-miR-425-5p	TUG1
HELLS	hsa-miR-145-5p	TUG1
KDELC1	hsa-miR-29a-3p	TUG1
KDELC1	hsa-miR-29b-3p	TUG1
KDELC1	hsa-miR-29c-3p	TUG1
LARP6	hsa-miR-29b-3p	TUG1
MBTD1	hsa-miR-29a-3p	TUG1
MEST	hsa-miR-29b-3p	TUG1
MEST	hsa-miR-29c-3p	TUG1
MLLT11	hsa-miR-29a-3p	TUG1
MLLT11	hsa-miR-29c-3p	TUG1
MTBP	hsa-miR-29a-3p	TUG1
MTBP	hsa-miR-29c-3p	TUG1
MYBL2	hsa-miR-29a-3p	TUG1
MYBL2	hsa-miR-29c-3p	TUG1
NAA25	hsa-miR-145-5p	TUG1
OIP5	hsa-miR-29b-3p	TUG1
PFN2	hsa-miR-29c-3p	TUG1
SHPRH	hsa-miR-29a-3p	TUG1
SHPRH	hsa-miR-29b-3p	TUG1
TDG	hsa-miR-221-3p	TUG1
TDG	hsa-miR-29a-3p	TUG1
TDG	hsa-miR-29b-3p	TUG1
TDG	hsa-miR-29c-3p	TUG1
TMSB15B	hsa-miR-29a-3p	TUG1
TMTC3	hsa-miR-29a-3p	TUG1
TMTC3	hsa-miR-29b-3p	TUG1
TMTC3	hsa-miR-29c-3p	TUG1
ZNF519	hsa-miR-29a-3p	TUG1
CTHRC1	hsa-miR-30a-5p	TPT1-AS1
CTHRC1	hsa-miR-30d-5p	TPT1-AS1
E2F7	hsa-miR-30b-5p	TPT1-AS1
E2F7	hsa-miR-30d-5p	TPT1-AS1
N4BP2	hsa-miR-30c-5p	TPT1-AS1
PFN2	hsa-miR-30d-5p	TPT1-AS1
PFN2	hsa-miR-30e-5p	TPT1-AS1
SLC7A5	hsa-miR-30a-5p	TPT1-AS1
SLC7A5	hsa-miR-30c-5p	TPT1-AS1
SLC7A5	hsa-miR-30d-5p	TPT1-AS1
STEAP1	hsa-miR-30d-5p	TPT1-AS1
C12orf76	hsa-miR-193a-3p	SNHG7
HOPX	hsa-miR-9-5p	SNHG7
