mRNA	microRNA	lncRNA		R_high	pValue	R_low	pValue		pValue Condition	SCC Condition
ATP2B1	hsa-miR-29b-3p	TUG1		-0.4377882745207	0.000530101225523691	-0.289302584051125	0.0253078592117557		Satisfied	No (R_low > -0.4)
C1QTNF6	hsa-miR-29c-3p	TUG1		-0.217004723534315	0.0958251905759729	-0.351264240066685	0.00617560689102249		p(R_high) > 0.05)	No (R_low > -0.4)
C5orf13	hsa-miR-29b-3p	TUG1		-0.411392053348152	0.0011975032666134	-0.214559599888858	0.0996956627652225		p(R_low) > 0.05)	No (R_low > -0.4)
CABYR	hsa-miR-221-3p	TUG1		-0.194665184773548	0.135885073599797	-0.32292303417616	0.0121679117043004		p(R_high) > 0.05)	No (R_low > -0.4)
CABYR	hsa-miR-222-3p	TUG1		-0.267963323145318	0.0387629325730119	-0.220283412058905	0.0908214142396512		p(R_low) > 0.05)	No (R_low > -0.4)
CDC7	hsa-miR-29a-3p	TUG1		-0.271829283567266	0.0356385994612521	-0.551438614093424	4.96286970137164E-06		Satisfied	No (|R_low|-|R_high| < -0.4)
CDC7	hsa-miR-29c-3p	TUG1		-0.205337667950741	0.115509926208308	-0.627655288408564	7.99531092588636E-08		p(R_high) > 0.05)	Satisfied
CDK2	hsa-miR-29a-3p	TUG1		-0.401389274798555	0.00160529425832417	-0.603889969435955	6.01766184017585E-07		Satisfied	No (R_high < -0.4)
CDK2	hsa-miR-29b-3p	TUG1		-0.432786885245902	0.00062155935762024	-0.447179772158933	0.000390719538381932		Satisfied	No (R_high < -0.4)
CDK2	hsa-miR-29c-3p	TUG1		-0.345873853848291	0.0070572567943648	-0.527424284523479	2.0093660148079E-05		Satisfied	No (|R_low|-|R_high| < -0.4)
CENPK	hsa-miR-29a-3p	TUG1		-0.469297026951931	0.000184276083604737	-0.457849402611837	0.000273510128171915		Satisfied	No (R_high < -0.4)
CENPK	hsa-miR-29c-3p	TUG1		-0.4463462072798	0.000401577062458321	-0.597999444290081	8.0824050522429E-07		Satisfied	No (R_high < -0.4)
COL1A1	hsa-miR-29c-3p	TUG1		-0.190775215337594	0.143998535009844	-0.222339538760767	0.0877900543379356		p(R_high) & p(R_low) > 0.05)	No (R_low > -0.4)
COL1A1	hsa-miR-335-5p	TUG1		-0.314754098360656	0.0146401005200059	-0.103250903028619	0.431415623641735		p(R_low) > 0.05)	No (R_low > -0.4)
COL3A1	hsa-miR-186-5p	TUG1		-0.280911364267852	0.0300311486193199	-0.20527924423451	0.115507271016492		p(R_low) > 0.05)	No (R_low > -0.4)
COL3A1	hsa-miR-335-5p	TUG1		-0.265684912475688	0.0404993232452254	-0.108474576271186	0.408373471683926		p(R_low) > 0.05)	No (R_low > -0.4)
COL5A2	hsa-miR-29c-3p	TUG1		-0.21083634342873	0.105822769549987	-0.297082522923034	0.0215068389149995		p(R_high) > 0.05)	No (R_low > -0.4)
DEPDC1	hsa-miR-29a-3p	TUG1		-0.354709641567102	0.00566432103678509	-0.547929980550153	8.39794686653015E-06		Satisfied	No (|R_low|-|R_high| < -0.4)
DEPDC1	hsa-miR-29c-3p	TUG1		-0.30880800222284	0.0167019019773356	-0.660850236176716	2.47390114730071E-08		Satisfied	No (|R_low|-|R_high| < -0.4)
DNMT3A	hsa-miR-29a-3p	TUG1		-0.268796888024451	0.038143352231464	-0.410725201444846	0.0012214511521407		Satisfied	No (|R_low|-|R_high| < -0.4)
DNMT3A	hsa-miR-29c-3p	TUG1		-0.330369547096416	0.0102385153386179	-0.566212836899139	3.69851063862593E-06		Satisfied	No (|R_low|-|R_high| < -0.4)
DSC2	hsa-miR-29c-3p	TUG1		-0.107752153375938	0.4115166304118	-0.438121700472353	0.000524463644735848		p(R_high) > 0.05)	No (|R_low|-|R_high| < -0.4)
FBN1	hsa-miR-425-5p	TUG1		-0.254574250847725	0.0496561340613996	-0.290969713809392	0.0244486419905465		Satisfied	No (R_low > -0.4)
HELLS	hsa-miR-145-5p	TUG1		-0.475965545984996	0.000145531313349576	-0.210002778549597	0.107233797062795		p(R_low) > 0.05)	No (R_low > -0.4)
KDELC1	hsa-miR-29a-3p	TUG1		-0.309419283134204	0.0164790194457066	-0.412503473186996	0.00115853132288366		Satisfied	No (|R_low|-|R_high| < -0.4)
KDELC1	hsa-miR-29b-3p	TUG1		-0.327257571547652	0.0110097345898319	-0.386329535982217	0.00245694262243499		Satisfied	No (R_low > -0.4)
KDELC1	hsa-miR-29c-3p	TUG1		-0.275687691025285	0.0333307287453887	-0.268352320088914	0.0384727604622631		Satisfied	No (R_low > -0.4)
LARP6	hsa-miR-29b-3p	TUG1		-0.435398721867185	0.000572147107428924	-0.305584884690192	0.0179204528058777		Satisfied	No (R_low > -0.4)
MBTD1	hsa-miR-29a-3p	TUG1		-0.26324344603049	0.0421357232811362	-0.186273964990275	0.153835230312611		p(R_low) > 0.05)	No (R_low > -0.4)
MEST	hsa-miR-29b-3p	TUG1		-0.390497360377883	0.00218797216711119	-0.465351486524035	0.000211452163680743		Satisfied	No (|R_low|-|R_high| < -0.4)
MEST	hsa-miR-29c-3p	TUG1		-0.350541817171437	0.0062878304591388	-0.672742428452348	9.7791986462602E-09		Satisfied	No (|R_low|-|R_high| < -0.4)
MLLT11	hsa-miR-29a-3p	TUG1		-0.42039455404279	0.000913191514568705	-0.391831064184496	0.00210765812832357		Satisfied	No (R_low > -0.4)
MLLT11	hsa-miR-29c-3p	TUG1		-0.340816893581551	0.00798306487011686	-0.375715476521256	0.00328029937455757		Satisfied	No (R_low > -0.4)
MTBP	hsa-miR-29a-3p	TUG1		-0.292358988607947	0.0237516637628195	-0.502861906085024	5.36005418479923E-05		Satisfied	No (|R_low|-|R_high| < -0.4)
MTBP	hsa-miR-29c-3p	TUG1		-0.390664073353709	0.00217778504743542	-0.657015837732704	3.19422708602173E-08		Satisfied	No (|R_low|-|R_high| < -0.4)
MYBL2	hsa-miR-29a-3p	TUG1		-0.334203945540428	0.00935334016650669	-0.438510697415949	0.000517955538452236		Satisfied	No (|R_low|-|R_high| < -0.4)
MYBL2	hsa-miR-29c-3p	TUG1		-0.332370102806335	0.00976797732844641	-0.541594887468741	1.1054238022581E-05		Satisfied	No (|R_low|-|R_high| < -0.4)
NAA25	hsa-miR-145-5p	TUG1		-0.417838288413448	0.000986952374687812	-0.263906640733537	0.0418990203847131		Satisfied	No (R_low > -0.4)
OIP5	hsa-miR-29b-3p	TUG1		-0.446790775215338	0.000395752567243878	-0.512753542650736	3.64012235361715E-05		Satisfied	No (R_high < -0.4)
PFN2	hsa-miR-29c-3p	TUG1		-0.310975270908586	0.0159231936687415	-0.181828285634899	0.164033518785907		p(R_low) > 0.05)	No (R_low > -0.4)
SHPRH	hsa-miR-29a-3p	TUG1		-0.196610169491525	0.131960407883095	-0.369158099472076	0.00390430297167286		p(R_high) > 0.05)	No (R_low > -0.4)
SHPRH	hsa-miR-29b-3p	TUG1		-0.292303417616004	0.023779215168123	-0.305307029730481	0.0180289834291379		Satisfied	No (R_low > -0.4)
TDG	hsa-miR-221-3p	TUG1		-0.31686579605446	0.0139627273488392	-0.278132814670742	0.0317502536808466		Satisfied	No (R_low > -0.4)
TDG	hsa-miR-29a-3p	TUG1		-0.376382328424562	0.00322211459231497	-0.56499027507641	3.91188055883111E-06		Satisfied	No (|R_low|-|R_high| < -0.4)
TDG	hsa-miR-29b-3p	TUG1		-0.393275909974993	0.00202364494374809	-0.344651292025563	0.00727197050796733		Satisfied	No (R_low > -0.4)
TDG	hsa-miR-29c-3p	TUG1		-0.340983606557377	0.00795092468421889	-0.388941372603501	0.00228513250042994		Satisfied	No (R_low > -0.4)
