mRNA	microRNA	lncRNA
NFIC	hsa-miR-590-3p	ZFAS1
C5orf41	hsa-miR-96-5p	WAC-AS1
CYYR1	hsa-miR-96-5p	WAC-AS1
DAB2	hsa-miR-96-5p	WAC-AS1
DMXL1	hsa-miR-96-5p	WAC-AS1
FAM104A	hsa-miR-218-5p	WAC-AS1
FOXO1	hsa-miR-96-5p	WAC-AS1
GRINL1A	hsa-miR-96-5p	WAC-AS1
JAZF1	hsa-miR-96-5p	WAC-AS1
LPPR4	hsa-miR-96-5p	WAC-AS1
MBNL1	hsa-miR-96-5p	WAC-AS1
MITF	hsa-miR-96-5p	WAC-AS1
NR3C1	hsa-miR-96-5p	WAC-AS1
OLR1	hsa-miR-320b	WAC-AS1
PCGF5	hsa-miR-96-5p	WAC-AS1
PDLIM5	hsa-miR-96-5p	WAC-AS1
PRKAR1A	hsa-miR-96-5p	WAC-AS1
RAPH1	hsa-miR-320b	WAC-AS1
RHOA	hsa-miR-96-5p	WAC-AS1
RPS6KB1	hsa-miR-218-5p	WAC-AS1
SLC35A1	hsa-miR-96-5p	WAC-AS1
TGFBR2	hsa-miR-96-5p	WAC-AS1
TMEM19	hsa-miR-96-5p	WAC-AS1
TOB1	hsa-miR-96-5p	WAC-AS1
WNK1	hsa-miR-320b	WAC-AS1
ABAT	hsa-miR-21-5p	TUG1
ADAM10	hsa-miR-29b-3p	TUG1
ADPGK	hsa-miR-410-3p	TUG1
AHSA2	hsa-miR-212-3p	TUG1
AKAP13	hsa-miR-9-5p	TUG1
ALDH1A1	hsa-miR-21-5p	TUG1
ANXA1	hsa-miR-196a-5p	TUG1
ARID4A	hsa-miR-590-5p	TUG1
ARID4A	hsa-miR-9-5p	TUG1
ARNT	hsa-miR-222-3p	TUG1
ARRDC3	hsa-miR-196b-5p	TUG1
ARRDC3	hsa-miR-421	TUG1
ARRDC3	hsa-miR-9-5p	TUG1
ASH1L	hsa-miR-425-5p	TUG1
ATP2B1	hsa-miR-29b-3p	TUG1
AUH	hsa-miR-21-5p	TUG1
BTG2	hsa-miR-196b-5p	TUG1
BTG2	hsa-miR-21-5p	TUG1
BTG2	hsa-miR-590-5p	TUG1
BTG2	hsa-miR-9-5p	TUG1
C1QTNF6	hsa-miR-29c-3p	TUG1
C5orf13	hsa-miR-29b-3p	TUG1
C5orf33	hsa-miR-29a-3p	TUG1
C9orf68	hsa-miR-196b-5p	TUG1
CABYR	hsa-miR-221-3p	TUG1
CABYR	hsa-miR-222-3p	TUG1
CAPN2	hsa-miR-212-3p	TUG1
CASC4	hsa-miR-590-5p	TUG1
CCDC138	hsa-miR-29c-3p	TUG1
CCDC99	hsa-miR-29a-3p	TUG1
CCDC99	hsa-miR-29c-3p	TUG1
CCNJ	hsa-miR-29c-3p	TUG1
CD47	hsa-miR-194-5p	TUG1
CD55	hsa-miR-505-3p	TUG1
CDC42SE2	hsa-miR-590-5p	TUG1
CDC7	hsa-miR-29a-3p	TUG1
CDC7	hsa-miR-29c-3p	TUG1
CDK2	hsa-miR-29a-3p	TUG1
CDK2	hsa-miR-29b-3p	TUG1
CDK2	hsa-miR-29c-3p	TUG1
CELF2	hsa-miR-196b-5p	TUG1
CELF2	hsa-miR-425-5p	TUG1
CENPK	hsa-miR-29a-3p	TUG1
CENPK	hsa-miR-29c-3p	TUG1
CHD7	hsa-miR-221-3p	TUG1
CITED2	hsa-miR-421	TUG1
COL1A1	hsa-miR-29c-3p	TUG1
COL1A1	hsa-miR-335-5p	TUG1
COL3A1	hsa-miR-186-5p	TUG1
COL3A1	hsa-miR-335-5p	TUG1
COL5A2	hsa-miR-29c-3p	TUG1
CPEB3	hsa-miR-590-5p	TUG1
CRKL	hsa-miR-29b-3p	TUG1
CTDSPL2	hsa-miR-29b-3p	TUG1
DCAF7	hsa-miR-29b-3p	TUG1
DCAF7	hsa-miR-365a-3p	TUG1
DDX17	hsa-miR-212-3p	TUG1
DDX52	hsa-miR-29a-3p	TUG1
DEPDC1	hsa-miR-29a-3p	TUG1
DEPDC1	hsa-miR-29c-3p	TUG1
DNMT3A	hsa-miR-29a-3p	TUG1
DNMT3A	hsa-miR-29c-3p	TUG1
DSC2	hsa-miR-29c-3p	TUG1
EIF4EBP2	hsa-miR-21-5p	TUG1
ELF2	hsa-miR-21-5p	TUG1
ELK1	hsa-miR-29a-3p	TUG1
EMP2	hsa-miR-421	TUG1
EXOC8	hsa-miR-196b-5p	TUG1
FAM105B	hsa-miR-29a-3p	TUG1
FAM105B	hsa-miR-29c-3p	TUG1
FAM190B	hsa-miR-590-5p	TUG1
FAS	hsa-miR-196a-5p	TUG1
FAS	hsa-miR-425-5p	TUG1
FBN1	hsa-miR-425-5p	TUG1
FBXO3	hsa-miR-21-5p	TUG1
FBXO45	hsa-miR-29a-3p	TUG1
FBXO45	hsa-miR-29c-3p	TUG1
FERMT2	hsa-miR-194-5p	TUG1
FOXN2	hsa-miR-29b-3p	TUG1
FRS2	hsa-miR-29b-3p	TUG1
FYTTD1	hsa-miR-29b-3p	TUG1
GLCCI1	hsa-miR-31-5p	TUG1
GPN1	hsa-miR-29c-3p	TUG1
GPR64	hsa-miR-590-5p	TUG1
HBP1	hsa-miR-425-5p	TUG1
HBP1	hsa-miR-9-5p	TUG1
HELLS	hsa-miR-145-5p	TUG1
HNMT	hsa-miR-590-5p	TUG1
HNMT	hsa-miR-9-5p	TUG1
IRAK1BP1	hsa-miR-21-5p	TUG1
IREB2	hsa-miR-29b-3p	TUG1
ITM2B	hsa-miR-197-3p	TUG1
KBTBD6	hsa-miR-21-5p	TUG1
KDELC1	hsa-miR-29a-3p	TUG1
KDELC1	hsa-miR-29b-3p	TUG1
KDELC1	hsa-miR-29c-3p	TUG1
KIAA1109	hsa-miR-590-5p	TUG1
